"Rank","Grade","Username","Tweets","Followers","Following"
"1","A++","katyperry","9,355","106,909,757","215"
"2","A++","justinbieber","30,512","104,988,576","300,077"
"3","A++","BarackObama","15,571","104,182,128","616,778"
"4","A++","rihanna","10,231","89,036,525","1,091"
"5","A++","taylorswift13","103","83,385,173","0"
"6","A++","ladygaga","8,926","77,583,692","125,671"
"7","A++","TheEllenShow","18,313","76,913,558","33,110"
"8","A++","Cristiano","3,336","76,082,602","103"
"9","A++","YouTube","23,068","71,140,301","1,014"
"10","A++","jtimberlake","4,059","64,729,385","289"
"11","A++","ArianaGrande","43,385","60,125,678","62,312"
"12","A++","KimKardashian","28,644","59,353,119","143"
"13","A++","ddlovato","17,082","57,290,787","535"
"14","A++","realDonaldTrump","40,214","57,235,630","45"
"15","A+","selenagomez","4,375","56,900,731","1,200"
"16","A++","britneyspears","5,642","56,490,454","383,556"
"17","A+","Twitter","8,619","55,876,632","140"
"18","A+","cnnbrk","64,407","54,615,945","121"
"19","A+","shakira","6,145","50,901,933","212"
"20","A+","jimmyfallon","11,521","50,793,532","8,597"
"21","A+","BillGates","2,931","46,184,647","200"
"22","A+","narendramodi","21,943","45,071,600","2,123"
"23","A+","JLo","14,138","43,547,814","1,691"
"24","A","nytimes","346,483","42,641,943","881"
"25","A","BrunoMars","4,488","42,337,062","100"
"26","A","neymarjr","41,407","42,001,237","745"
"27","A","KingJames","6,182","41,972,358","181"
"28","A","Oprah","12,606","41,843,296","298"
"29","A","CNN","221,083","41,117,912","1,111"
"30","A","MileyCyrus","9,582","40,920,122","418"
"31","A","NiallOfficial","13,025","39,353,883","5,944"
"32","A","BBCBreaking","35,252","38,766,468","3"
"33","A","Drake","1,718","37,801,111","627"
"34","A","iamsrk","57,636","37,205,002","79"
"35","A","instagram","12,198","36,832,175","4"
"36","A","SrBachchan","63,639","35,956,501","1,863"
"37","A","BeingSalmanKhan","42,535","35,609,572","23"
"38","A","SportsCenter","107,012","35,254,738","1,660"
"39","A","KevinHart4real","38,120","34,813,910","550"
"40","A","LilTunechi","1,982","34,072,064","50"
"41","A","espn","99,259","33,740,282","235"
"42","A","wizkhalifa","44,512","33,654,236","831"
"43","A","Louis_Tomlinson","6,601","33,225,127","3,755"
"44","A","Harry_Styles","5,490","33,211,422","2,008"
"45","A","LiamPayne","10,671","32,492,474","15,943"
"46","A-","Pink","7,161","31,939,104","457"
"47","A-","realmadrid","64,923","31,301,030","56"
"48","A-","onedirection","9,888","30,968,761","3,733"
"49","A-","NASA","54,580","30,169,847","297"
"50","A-","aliciakeys","7,888","29,866,344","710"
"51","A-","KAKA","5,075","29,601,579","302"
"52","A-","chrisbrown","4,340","29,523,638","1"
"53","A-","akshaykumar","39,182","29,159,958","25"
"54","A-","kanyewest","1,181","29,145,980","277"
"55","A-","EmmaWatson","1,685","29,033,927","390"
"56","A-","FCBarcelona","99,712","29,014,252","72"
"57","A-","ConanOBrien","3,716","28,446,291","1"
"58","A-","zaynmalik","3,547","28,108,494","2,202"
"59","A-","Adele","309","27,955,508","0"
"60","A-","sachin_rt","2,503","27,923,692","79"
"61","A-","imVkohli","1,640","27,866,787","52"
"62","A-","PMOIndia","22,288","27,684,376","451"
"63","A-","NBA","220,884","27,557,015","1,697"
"64","A-","KendallJenner","9,347","27,154,695","133"
"65","A-","ActuallyNPH","2,982","27,099,595","137"
"66","A-","pitbull","7,726","26,237,462","2,638"
"67","A-","khloekardashian","59,795","26,181,115","268"
"68","A-","danieltosh","13,878","26,164,448","135"
"69","A-","KylieJenner","12,980","26,030,267","1,119"
"70","A-","deepikapadukone","3,762","25,605,364","77"
"71","A-","iHrithik","4,627","25,028,220","89"
"72","A-","POTUS","4,829","24,895,418","39"
"73","A-","BBCWorld","288,950","24,350,060","92"
"74","A-","aamir_khan","648","24,282,544","9"
"75","A-","NFL","183,100","24,210,502","2,561"
"76","A-","elonmusk","6,431","24,119,232","79"
"77","A-","priyankachopra","20,955","24,056,528","537"
"78","A-","kourtneykardash","12,925","23,908,066","71"
"79","A-","HillaryClinton","10,636","23,897,932","783"
"80","A-","coldplay","7,435","23,797,774","1,493"
"81","A-","andresiniesta8","1,917","23,778,773","94"
"82","A-","MesutOzil1088","1,539","23,650,782","96"
"83","A-","TheEconomist","162,821","23,525,378","0"
"84","A-","ChampionsLeague","58,538","22,534,613","494"
"85","A-","Eminem","866","22,466,692","0"
"86","A-","NatGeo","47,326","22,440,844","54"
"87","A-","AvrilLavigne","3,862","21,756,327","163"
"88","A-","davidguetta","4,988","21,436,067","318"
"89","A-","arrahman","4,805","21,013,587","1"
"90","A-","Google","92,719","20,717,539","218"
"91","A-","ShawnMendes","14,609","20,709,931","59,046"
"92","A-","MohamadAlarefe","23,450","20,669,104","8"
"93","A-","blakeshelton","10,915","20,666,788","697"
"94","A-","MariahCarey","8,346","20,523,407","127"
"95","A-","NICKIMINAJ","41,895","20,497,176","4,768"
"96","A-","ricky_martin","6,674","20,411,002","429"
"97","A-","Reuters","348,333","20,132,873","1,080"
"98","B+","AlejandroSanz","28,959","19,439,242","1,874"
"99","B+","edsheeran","29,279","19,308,284","0"
"100","B+","3gerardpique","2,651","19,005,525","602"
"101","B+","DalaiLama","1,425","18,974,504","0"
"102","B+","LeoDiCaprio","1,561","18,908,602","149"
"103","B+","premierleague","100,336","18,814,685","78"
"104","B+","AnushkaSharma","4,247","18,679,593","130"
"105","B+","Dr_alqarnee","58,348","18,660,365","325"
"106","B+","ManUtd","50,775","18,656,440","133"
"107","B+","FoxNews","418,058","18,591,685","398"
"108","B+","aliaa08","4,810","18,419,711","235"
"109","B+","StephenAtHome","6,011","18,345,298","53"
"110","B+","virendersehwag","11,255","18,297,175","140"
"111","B+","10Ronaldinho","5,112","18,239,506","111"
"112","B+","JimCarrey","4,422","18,188,727","1"
"113","B+","aplusk","10,049","18,038,992","779"
"114","B+","jamesdrodriguez","2,706","18,035,543","308"
"115","B+","shugairi","2,033","17,869,557","0"
"116","B+","Pontifex","1,824","17,838,766","8"
